part_number;marca;modelos;operacion;detalle
2151323001;HYUNDAI;Accent, Grand i10, i20;GOLILLA CARTER;i20 1.4 (Bi3 F/L) | i20 1.0 T-GDI (Bi3 F/L) | Grand i10 1.2 (BA) | Grand i10 1.0 (BA) | i20 1.2 y 1.4 (IB) | Accent 1.4 y 1.6 (RB)
2521203050;HYUNDAI;Grand i10;CORREA ALT/DH/AA;Grand i10 1.2 (Ai3 y Ai3 F/L)
2521203200;HYUNDAI;i20;CORREA ALT/DH/AA;i20 1.2 y 1.4 (IB)
2521203980;HYUNDAI;Accent;CORREA ALT/AC;Accent 1.4 (HCi)
2521204021;HYUNDAI;Grand i10;CORREA ALT/DH/AA;Grand i10 1.2 (BA) | Grand i10 1.0 (BA) | Grand i10 1.0 (Ai3 F/L)
2521204540;HYUNDAI;i20;CORREA ALT/AC/BBA AGUA;i20 1.0 T-GDI (Bi3)
2521204580;HYUNDAI;i20;CORREA ALT/AC/BBA AGUA;i20 1.0 T-GDI (Bi3 F/L)
2521204630;HYUNDAI;i20;CORREA ALT/AC/BBA AGUA;i20 1.4 (Bi3 F/L) | i20 1.4 (Bi3)
252122A300;HYUNDAI;Accent;CORREA ALT/DH/AA;Accent (RB) 1.6 CRDI Euro V
252122B020;HYUNDAI;Accent;CORREA ALT/DH/AA;Accent 1.4 y 1.6 (RB)
252122B140;HYUNDAI;Accent;CORREA ALT/AC;Accent 1.6 (HCi)
252122M000;HYUNDAI;Accent;CORREA ALT/AC;Accent 1.5 (BN7i)
2630002503;HYUNDAI;Accent, i20;FILTRO ACEITE;i20 1.2 y 1.4 (IB) | Accent 1.4 y 1.6 (RB) | i20 1.4 (Bi3)
2630002751;HYUNDAI;Grand i10;FILTRO ACEITE;Grand i10 1.2 (BA) | Grand i10 1.0 (BA)
2630002752;HYUNDAI;Grand i10, i20;FILTRO ACEITE;i20 1.4 (Bi3 F/L) | i20 1.0 T-GDI (Bi3 F/L) | Grand i10 1.2 (Ai3 y Ai3 F/L) | i20 1.0 T-GDI (Bi3) | Grand i10 1.0 (Ai3 F/L)
2630035505;HYUNDAI;Accent;FILTRO ACEITE;Accent 1.4 (HCi) | Accent 1.6 (HCi) | Accent 1.5 (BN7i)
263202A500;HYUNDAI;Accent;FILTRO ACEITE;Accent (RB) 1.6 CRDI Euro V
281131R100;HYUNDAI;Accent;FILTRO AIRE;Accent 1.4 y 1.6 (RB) | Accent (RB) 1.6 CRDI Euro V
28113B4000;HYUNDAI;Grand i10;FILTRO AIRE;Grand i10 1.2 (BA) | Grand i10 1.0 (BA) | Grand i10 1.2 (Ai3 y Ai3 F/L) | Grand i10 1.0 (Ai3 F/L)
28113C7000;HYUNDAI;Accent, i20;FILTRO AIRE MOTOR;i20 1.4 (Bi3 F/L) | i20 1.0 T-GDI (Bi3 F/L) | i20 1.2 y 1.4 (IB) | Accent 1.4 (HCi) | Accent 1.6 (HCi) | i20 1.4 (Bi3)
311121R000;HYUNDAI;Accent, Grand i10;FILTRO COMBUSTIBLE;Grand i10 1.2 (BA) | Grand i10 1.0 (BA) | Accent 1.4 y 1.6 (RB) | Grand i10 1.2 (Ai3 y Ai3 F/L) | Grand i10 1.0 (Ai3 F/L)
31112C0000;HYUNDAI;i20;FILTRO COMBUSTIBLE;i20 1.0 T-GDI (Bi3 F/L)
31112C7000;HYUNDAI;i20;FILTRO COMBUSTIBLE;i20 1.2 y 1.4 (IB)
31112F9000;HYUNDAI;Accent, i20;FILTRO COMBUSTIBLE;i20 1.4 (Bi3 F/L) | Accent 1.4 (HCi) | Accent 1.6 (HCi) | Accent 1.5 (BN7i)
31113K3000;HYUNDAI;i20;FILTRO COMBUSTIBLE;i20 1.4 (Bi3) | i20 1.0 T-GDI (Bi3)
319224H001;HYUNDAI;Accent;FILTRO COMBUSTIBLE;Accent (RB) 1.6 CRDI Euro V
9713307010;HYUNDAI;Grand i10;FILTRO POLEN;Grand i10 1.2 (BA) | Grand i10 1.0 (BA)
971331S000;HYUNDAI;i20;FILTRO POLEN;i20 1.2 y 1.4 (IB)
971332E210;HYUNDAI;Accent;FILTRO POLEN;Accent 1.4 y 1.6 (RB)
